Feature	MeanSHAP	Group
cd_prop_BATF3_8.0	7.99224367204764e-05	Sig90
cd_BATF3_10.0	3.49787576871122e-06	Other
cd_prop_BATF3_10.0	2.21318934038267e-05	Other
cd_BATF::JUN_8.0	0.000141741005140476	Sig90
cd_prop_BATF::JUN_8.0	3.97494938213487e-05	Other
cd_BATF::JUN_10.0	5.18680424542917e-05	Other
cd_prop_BATF::JUN_10.0	8.31050494680973e-05	Sig90
cd_BCL11A_8.0	0.000447655930804295	Sig70
cd_prop_BCL11A_8.0	0.000102639780780449	Sig90
cd_BCL11A_10.0	0.000363230174527029	Sig70
cd_prop_BCL11A_10.0	0.000342378685980912	Sig70
cd_BCL6_8.0	0.000331996796303775	Sig70
cd_prop_BCL6_8.0	0.000956013535032634	Sig50
cd_BCL6_10.0	0.00016899205925772	Sig90
cd_prop_BCL6_10.0	0.000100841273155796	Sig90
cd_BCL6B_8.0	5.31148511505429e-05	Other
cd_prop_BCL6B_8.0	3.97568149132454e-05	Other
cd_BCL6B_10.0	0	Other
cd_prop_BCL6B_10.0	0	Other
cd_BHLHA15_8.0	8.14901542840662e-05	Sig90
cd_prop_BHLHA15_8.0	0.00101309027458704	Sig50
cd_BHLHA15_10.0	0.000287920512131455	Sig80
cd_prop_BHLHA15_10.0	0.000790801412287777	Sig50
cd_BHLHE22_8.0	8.23339906852449e-05	Sig90
cd_prop_BHLHE22_8.0	0.000439023981344205	Sig70
cd_BHLHE22_10.0	0.000937999079982381	Sig50
cd_prop_BHLHE22_10.0	0.000535786872120767	Sig60
cd_BHLHE23_8.0	0.000172616085406618	Sig80
cd_prop_BHLHE23_8.0	0.000803619323188214	Sig50
cd_BHLHE23_10.0	0.000164904152861806	Sig90
cd_prop_BHLHE23_10.0	0.000612284911794007	Sig60
cd_BHLHE40_8.0	0.000869318565234223	Sig50
cd_prop_BHLHE40_8.0	0.000448242138964149	Sig70
cd_BHLHE40_10.0	0.000424171718885675	Sig70
cd_prop_BHLHE40_10.0	0.0001657600151254	Sig90
cd_BHLHE41_8.0	0.000986942553783994	Sig50
cd_prop_BHLHE41_8.0	0.000528252511354878	Sig60
cd_BHLHE41_10.0	0.000265837984161802	Sig80
cd_prop_BHLHE41_10.0	6.15433360626345e-05	Other
cd_BNC2_8.0	4.25766195063781e-05	Other
cd_prop_BNC2_8.0	4.40825360140415e-05	Other
cd_BNC2_10.0	3.90865913616074e-05	Other
cd_prop_BNC2_10.0	6.14165672455053e-05	Other
cd_CDX1_8.0	8.97579309750982e-05	Sig90
cd_prop_CDX1_8.0	6.20634986943928e-05	Other
cd_CDX1_10.0	4.31510533308907e-07	Other
cd_prop_CDX1_10.0	3.23635535408752e-05	Other
cd_CDX2_8.0	9.26875596938688e-07	Other
cd_prop_CDX2_8.0	7.40698090306035e-05	Sig90
cd_CDX2_10.0	1.64396005778011e-05	Other
cd_prop_CDX2_10.0	1.07423244658426e-05	Other
cd_CDX4_8.0	2.98874499562189e-05	Other
cd_prop_CDX4_8.0	0.000150304480244982	Sig90
cd_CDX4_10.0	2.32600780920738e-05	Other
cd_prop_CDX4_10.0	1.99363942304728e-05	Other
cd_CEBPA_8.0	0.000105486351573885	Sig90
cd_prop_CEBPA_8.0	0.000308536682229959	Sig70
cd_CEBPA_10.0	7.99372128199341e-05	Sig90
cd_prop_CEBPA_10.0	0.000150897160724357	Sig90
cd_CEBPB_8.0	0.000122690361947158	Sig90
cd_prop_CEBPB_8.0	0.000110830693321432	Sig90
cd_CEBPB_10.0	0.000183028970810181	Sig80
cd_prop_CEBPB_10.0	0.000185605888910685	Sig80
cd_CEBPD_8.0	3.95216778212903e-05	Other
cd_prop_CEBPD_8.0	6.41518326874274e-05	Other
cd_CEBPD_10.0	6.06643234852352e-06	Other
cd_prop_CEBPD_10.0	7.25789716849825e-06	Other
cd_CEBPE_8.0	0.000142681466444669	Sig90
cd_prop_CEBPE_8.0	5.88441498918471e-05	Other
cd_CEBPE_10.0	0.000106281869646157	Sig90
cd_prop_CEBPE_10.0	0.000268627385333827	Sig80
cd_CEBPG_8.0	0.000703455914558696	Sig60
cd_prop_CEBPG_8.0	0.000618045358741252	Sig60
cd_CEBPG_10.0	6.04181353369775e-05	Other
cd_prop_CEBPG_10.0	0.0012253568552162	Sig50
cd_CLOCK_8.0	0.00018061088135663	Sig80
cd_prop_CLOCK_8.0	0.000496589016532874	Sig60
cd_CLOCK_10.0	0.000329306041345939	Sig70
cd_prop_CLOCK_10.0	0.000711813200039947	Sig60
cd_CREB1_8.0	0.000212047689676965	Sig80
cd_prop_CREB1_8.0	0.000126248442623545	Sig90
cd_CREB1_10.0	0.000226825778680398	Sig80
cd_prop_CREB1_10.0	0.00019799309627792	Sig80
cd_CREB3_8.0	0.000134368462375168	Sig90
cd_prop_CREB3_8.0	0.00062286850709854	Sig60
cd_CREB3_10.0	0.00015413114025708	Sig90
cd_prop_CREB3_10.0	0.000450700917665111	Sig70
cd_CREB3L1_8.0	0.000974737755888968	Sig50
cd_prop_CREB3L1_8.0	0.000181320768837934	Sig80
cd_CREB3L1_10.0	0.000475220659383049	Sig70
cd_prop_CREB3L1_10.0	0.000219156082687653	Sig80
cd_CREB3L4_8.0	0.000178844430436841	Sig80
cd_prop_CREB3L4_8.0	0.000380663300393019	Sig70
cd_CREB3L4_10.0	0.000256904750200242	Sig80
cd_prop_CREB3L4_10.0	0.000458335159416555	Sig70
cd_CREM_8.0	0.000371332534646147	Sig70
cd_prop_CREM_8.0	0.000540720628118698	Sig60
cd_CREM_10.0	0.000338003132049607	Sig70
cd_prop_CREM_10.0	0.000609561380072336	Sig60
cd_CTCF_8.0	0.000795738714831566	Sig50
cd_prop_CTCF_8.0	0.000141129059914013	Sig90
cd_CTCF_10.0	0.00103052005242884	Sig50
cd_prop_CTCF_10.0	0.00118850563615184	Sig50
cd_CTCFL_8.0	0.000165221604224781	Sig90
cd_prop_CTCFL_8.0	0.000196235668356895	Sig80
cd_CTCFL_10.0	0.000170803995181656	Sig90
cd_prop_CTCFL_10.0	0.000366281579396357	Sig70
cd_CUX1_8.0	0.000508128819639661	Sig60
cd_prop_CUX1_8.0	0.000658460729089111	Sig60
cd_CUX1_10.0	0.000429903237253752	Sig70
cd_prop_CUX1_10.0	0.000611311112077965	Sig60
cd_CUX2_8.0	0.000142103518812504	Sig90
cd_prop_CUX2_8.0	0.000328505731811317	Sig70
cd_CUX2_10.0	0.000243457019029836	Sig80
cd_prop_CUX2_10.0	0.000443131289841262	Sig70
cd_DBP_8.0	4.69117905154373e-05	Other
cd_prop_DBP_8.0	0.00020799889000696	Sig80
cd_DBP_10.0	8.36536668980327e-05	Sig90
cd_prop_DBP_10.0	2.06483633158395e-05	Other
cd_DMRT3_8.0	0.000553461442885791	Sig60
cd_prop_DMRT3_8.0	0.000728091123415377	Sig60
cd_DMRT3_10.0	0.00040713947957915	Sig70
cd_prop_DMRT3_10.0	0.000397579530903294	Sig70
cd_DMRTA1_8.0	0.000731712243282512	Sig60
cd_prop_DMRTA1_8.0	0.000138256889436845	Sig90
cd_DMRTA1_10.0	0.000348207168218824	Sig70
cd_prop_DMRTA1_10.0	0.000302606792868259	Sig70
cd_DMRTC2_8.0	0.00100938425905974	Sig50
cd_prop_DMRTC2_8.0	0.0010111806838583	Sig50
cd_DMRTC2_10.0	0.000890613821032443	Sig50
cd_prop_DMRTC2_10.0	0.00108361058624247	Sig50
cd_DPRX_8.0	0.000235830139089136	Sig80
cd_prop_DPRX_8.0	0.000150036643013715	Sig90
cd_DPRX_10.0	0.000205570788731975	Sig80
cd_prop_DPRX_10.0	9.82357103840198e-05	Sig90
cd_DUX4_8.0	0.00066090822052454	Sig60
cd_prop_DUX4_8.0	0.00052412890479923	Sig60
cd_DUX4_10.0	5.57772922950302e-05	Other
cd_prop_DUX4_10.0	1.16408201792991e-05	Other
cd_DUXA_8.0	5.68651626501539e-05	Other
cd_prop_DUXA_8.0	1.33228171554077e-05	Other
cd_DUXA_10.0	1.89490665018169e-05	Other
cd_prop_DUXA_10.0	1.94947813189509e-05	Other
cd_E2F1_8.0	0.000328402705433177	Sig70
cd_prop_E2F1_8.0	0.000366288634634072	Sig70
cd_E2F1_10.0	0.000340778046820285	Sig70
cd_prop_E2F1_10.0	0.00022633119507825	Sig80
cd_E2F2_8.0	1.61752163785404e-05	Other
cd_prop_E2F2_8.0	3.06772675743715e-05	Other
cd_E2F2_10.0	1.33873785243315e-05	Other
cd_prop_E2F2_10.0	1.93090052457346e-05	Other
cd_E2F3_8.0	0	Other
cd_prop_E2F3_8.0	0	Other
cd_E2F3_10.0	0	Other
cd_prop_E2F3_10.0	0	Other
cd_E2F4_8.0	0.00101880442454537	Sig50
cd_prop_E2F4_8.0	0.000428252484810405	Sig70
cd_E2F4_10.0	0.0007069212174172	Sig60
cd_prop_E2F4_10.0	0.000776555834905827	Sig50
cd_E2F6_8.0	0.000745977449736861	Sig60
cd_prop_E2F6_8.0	0.00055627599390608	Sig60
cd_E2F6_10.0	0.000616083378241322	Sig60
cd_prop_E2F6_10.0	0.000326214697887831	Sig70
cd_E2F7_8.0	0	Other
cd_prop_E2F7_8.0	0	Other
cd_E2F7_10.0	0	Other
cd_prop_E2F7_10.0	0	Other
cd_E2F8_8.0	0.000163057738964647	Sig90
cd_prop_E2F8_8.0	0.000201571812416008	Sig80
cd_E2F8_10.0	0.000170983911860925	Sig90
cd_prop_E2F8_10.0	0.000175665724033993	Sig80
cd_EBF1_8.0	7.5824592674952e-05	Sig90
cd_prop_EBF1_8.0	3.67540048808302e-05	Other
cd_EBF1_10.0	1.52508647967433e-05	Other
cd_prop_EBF1_10.0	0.000139960704474998	Sig90
cd_EBF3_8.0	0.00110957221617364	Sig50
cd_prop_EBF3_8.0	5.0418070309171e-05	Other
cd_EBF3_10.0	0.0012522930932628	Sig50
cd_prop_EBF3_10.0	0.000516561659546713	Sig60
cd_EGR1_8.0	3.87606305673349e-05	Other
cd_prop_EGR1_8.0	0.000231546873536788	Sig80
cd_EGR1_10.0	0.000685240271207542	Sig60
cd_prop_EGR1_10.0	0.000317367484790438	Sig70
cd_EGR2_8.0	0.000395051253972956	Sig70
cd_prop_EGR2_8.0	0.000365776285130664	Sig70
cd_EGR2_10.0	0.000126714167009502	Sig90
cd_prop_EGR2_10.0	0.000517691928147615	Sig60
cd_EGR3_8.0	0.000279744944257957	Sig80
cd_prop_EGR3_8.0	0.000261917819502708	Sig80
cd_EGR3_10.0	0.000223282552705139	Sig80
cd_prop_EGR3_10.0	0.000174656429929907	Sig80
cd_EGR4_8.0	1.19480826851476e-05	Other
cd_prop_EGR4_8.0	0.000308609176805032	Sig70
cd_EGR4_10.0	5.49119362548699e-05	Other
cd_prop_EGR4_10.0	0.000234370090610243	Sig80
cd_EHF_8.0	0.000381055829878932	Sig70
cd_prop_EHF_8.0	0.000277771597815889	Sig80
cd_EHF_10.0	7.56616013981047e-05	Sig90
cd_prop_EHF_10.0	8.44198751109264e-05	Sig90
cd_ELF1_8.0	0.000339674444088136	Sig70
cd_prop_ELF1_8.0	0.00033977843447734	Sig70
cd_ELF1_10.0	0.000186966796800801	Sig80
cd_prop_ELF1_10.0	0.000353421252781503	Sig70
cd_ELF2_8.0	0.00015677875293366	Sig90
cd_prop_ELF2_8.0	4.00504801598698e-05	Other
cd_ELF2_10.0	0.000288433498806424	Sig80
cd_prop_ELF2_10.0	8.2326741218803e-05	Sig90
cd_ELF3_8.0	0.000297271639895735	Sig80
cd_prop_ELF3_8.0	0.000533217904922741	Sig60
cd_ELF3_10.0	0.000372240635472444	Sig70
cd_prop_ELF3_10.0	5.42253130182895e-05	Other
cd_ELF4_8.0	0.000165494722195204	Sig90
cd_prop_ELF4_8.0	8.01138995980055e-05	Sig90
cd_ELF4_10.0	5.9583495692183e-05	Other
cd_prop_ELF4_10.0	1.48178357686305e-05	Other
cd_ELK1_8.0	0.000690494253666093	Sig60
cd_prop_ELK1_8.0	0.000278622759171029	Sig80
cd_ELK1_10.0	0.000682175376098902	Sig60
cd_prop_ELK1_10.0	0.00039686816895761	Sig70
cd_ELK1::HOXA1_8.0	0.000814991641814945	Sig50
cd_prop_ELK1::HOXA1_8.0	0.000494919986555435	Sig60
cd_ELK1::HOXA1_10.0	6.50054170344461e-05	Other
cd_prop_ELK1::HOXA1_10.0	2.27749049604518e-05	Other
cd_ELK1::HOXB13_8.0	9.5125424269285e-05	Sig90
cd_prop_ELK1::HOXB13_8.0	0.000222818102192515	Sig80
cd_ELK1::HOXB13_10.0	0	Other
cd_prop_ELK1::HOXB13_10.0	0	Other
cd_ELK1::SREBF2_8.0	0.000241032099341326	Sig80
cd_prop_ELK1::SREBF2_8.0	0.000248366553291374	Sig80
cd_ELK1::SREBF2_10.0	0.00018436175852772	Sig80
cd_prop_ELK1::SREBF2_10.0	0.000169619696521362	Sig90
cd_ELK3_8.0	0.00059966802193535	Sig60
cd_prop_ELK3_8.0	0.000281038366041615	Sig80
cd_ELK3_10.0	0.000454695981939759	Sig70
cd_prop_ELK3_10.0	0.000353023093188697	Sig70
cd_ELK4_8.0	6.69587452232448e-05	Other
cd_prop_ELK4_8.0	0.000115236950306686	Sig90
cd_ELK4_10.0	0.00014798594780737	Sig90
cd_prop_ELK4_10.0	0.000253831438320324	Sig80
cd_EN2_8.0	2.73261619903329e-05	Other
cd_prop_EN2_8.0	1.74913376829463e-05	Other
cd_EN2_10.0	7.93390060136946e-05	Sig90
cd_prop_EN2_10.0	0.000152505655339695	Sig90
cd_EOMES_8.0	0.000627255449510303	Sig60
cd_prop_EOMES_8.0	0.000512924862871617	Sig60
cd_EOMES_10.0	0.00047317403000891	Sig70
cd_prop_EOMES_10.0	0.000208409072020908	Sig80
cd_EPAS1_8.0	0.000719571457916617	Sig60
cd_prop_EPAS1_8.0	0.000374114142251613	Sig70
cd_EPAS1_10.0	0.000253936059518049	Sig80
cd_prop_EPAS1_10.0	0.000143704129480315	Sig90
cd_ERF_8.0	3.3483524550587e-05	Other
cd_prop_ERF_8.0	0.00017281265028823	Sig80
cd_ERF_10.0	5.6565989891263e-05	Other
cd_prop_ERF_10.0	1.67617543529853e-05	Other
cd_ERF::FIGLA_8.0	0.000422176189572051	Sig70
cd_prop_ERF::FIGLA_8.0	0.000293272418845895	Sig80
cd_ERF::FIGLA_10.0	0.00033833759117102	Sig70
cd_prop_ERF::FIGLA_10.0	0.000205498869474897	Sig80
cd_ERF::FOXI1_8.0	0.000442009953458978	Sig70
cd_prop_ERF::FOXI1_8.0	0.000382114501457324	Sig70
cd_ERF::FOXI1_10.0	0.000597340688626799	Sig60
cd_prop_ERF::FOXI1_10.0	0.000400955629328243	Sig70
cd_ERF::FOXO1_8.0	0.000319029780588817	Sig70
cd_prop_ERF::FOXO1_8.0	0.000197682090346279	Sig80
cd_ERF::FOXO1_10.0	0.000274923686813829	Sig80
cd_prop_ERF::FOXO1_10.0	0.000555321283760772	Sig60
cd_ERF::HOXB13_8.0	1.30643114111144e-06	Other
cd_prop_ERF::HOXB13_8.0	5.4108136973406e-06	Other
cd_ERF::HOXB13_10.0	8.25353803481648e-05	Sig90
cd_prop_ERF::HOXB13_10.0	3.7131958694051e-05	Other
cd_ERF::NHLH1_8.0	0.000822971293688518	Sig50
cd_prop_ERF::NHLH1_8.0	0.000268721271956348	Sig80
cd_ERF::NHLH1_10.0	0.000220177720834994	Sig80
cd_prop_ERF::NHLH1_10.0	0.000168954312510461	Sig90
cd_ERF::SREBF2_8.0	0.000620483416731191	Sig60
cd_prop_ERF::SREBF2_8.0	0.000508817989047099	Sig60
cd_ERF::SREBF2_10.0	0	Other
cd_prop_ERF::SREBF2_10.0	0	Other
cd_ESR1_8.0	1.03220740540898e-05	Other
cd_prop_ESR1_8.0	6.87936764704069e-05	Other
cd_ESR1_10.0	0	Other
cd_prop_ESR1_10.0	0	Other
cd_ESR2_8.0	0.000258150100096533	Sig80
cd_prop_ESR2_8.0	0.000197755991020696	Sig80
cd_ESR2_10.0	8.00815510017237e-05	Sig90
